Baby,Time,Amount (oz.),Note
Arlo,"5/22/23, 15:20",3
Arlo,"5/22/23, 12:30",3
Arlo,"5/22/23, 10:13",2.75
Arlo,"5/22/23, 05:57",1.5
Arlo,"5/22/23, 03:33",1.5
Arlo,"5/21/23, 16:45",2.5
Arlo,"5/21/23, 14:13",2
Arlo,"5/21/23, 12:05",2.5,Plus left boob
Arlo,"5/21/23, 09:47",2.25
Arlo,"5/21/23, 05:05",1
Arlo,"5/20/23, 14:45",2.5
Arlo,"5/20/23, 12:45",2.5
Arlo,"5/20/23, 10:09",2.5,Plus lefty bonus
Arlo,"5/20/23, 05:00",1
Arlo,"5/19/23, 16:21",2.25
Arlo,"5/19/23, 13:20",3.25
Arlo,"5/19/23, 10:10",2.5,Plus left boob bonus
Arlo,"5/19/23, 02:33",1.75,Plus left boob five min 
Arlo,"5/18/23, 14:50",2
Arlo,"5/18/23, 08:46",2
Arlo,"5/18/23, 03:43",1.75
Arlo,"5/17/23, 16:52",1.75
Arlo,"5/17/23, 11:48",2.25
Arlo,"5/16/23, 15:48",1.75
Arlo,"5/16/23, 13:37",2.25,"Left boob dessert 4 min
Then 5 min 30 min later"
Arlo,"5/16/23, 04:01",0.75,Left boob rescue
Arlo,"5/15/23, 14:18",1.5
Arlo,"5/15/23, 08:58",2
Arlo,"5/15/23, 03:35",1.25,Left boob rescue
Arlo,"5/14/23, 14:09",2.75
Arlo,"5/14/23, 06:25",1,"Left boob rescue 
Pumped right"
Arlo,"5/13/23, 18:40",1.5
Arlo,"5/13/23, 13:50",2
Arlo,"5/12/23, 12:03",2
Arlo,"5/12/23, 09:40",0.5,"5 min left, 2 min right "
Arlo,"5/11/23, 12:54",1.5
Arlo,"5/10/23, 16:48",2.25,Left boob mini rescue 
Arlo,"5/10/23, 12:08",2
Arlo,"5/9/23, 16:38",2.5
Arlo,"5/9/23, 12:03",2.25
Arlo,"5/8/23, 16:45",2,Left boob rescue
Arlo,"5/8/23, 12:04",2.25
Arlo,"5/7/23, 14:27",2,Pump right
Arlo,"5/6/23, 18:14",1
Arlo,"5/6/23, 12:57",2.5,"Right boob snack, pump left"
Arlo,"5/6/23, 10:20",1.75
Arlo,"5/5/23, 17:00",1.5,Right boob rescue 
Arlo,"5/5/23, 10:28",1.25,Right booby rescue 
Arlo,"5/4/23, 11:38",2.5,Left booby dessert
Arlo,"5/3/23, 18:41",0.5,+ some snack on the left
Arlo,"5/3/23, 17:32",1.5
Arlo,"5/3/23, 13:50",1.75
Arlo,"5/3/23, 10:20",2
Arlo,"5/2/23, 18:21",2,Little left boob snack
Arlo,"5/2/23, 10:07",2
Arlo,"5/1/23, 15:30",0.75
Arlo,"4/30/23, 16:22",2
Arlo,"4/30/23, 09:42",1.75
Arlo,"4/29/23, 18:59",1.75,"Spread over ~70 mins
Plus left boob 10 min(?)"
Arlo,"4/29/23, 12:49",1.5
Arlo,"4/28/23, 17:36",2.25,Right boob rescue 7 min
Arlo,"4/28/23, 12:24",2.25,Right boob dessert 5 min
Arlo,"4/27/23, 21:16",1.5,Plus right boob bonus
Arlo,"4/27/23, 14:28",2.5
Arlo,"4/26/23, 16:15",2,Plus right boob 6 min
Arlo,"4/26/23, 11:29",2,+ 5 min left boob
Arlo,"4/25/23, 11:07",2
Arlo,"4/24/23, 16:00",1.75,6 min R boob rescue
Arlo,"4/24/23, 10:49",1.5,5 min R boob rescue 11:30
Arlo,"4/23/23, 14:38",1,Plus 5 min breast rescue
Arlo,"4/22/23, 17:15",1
Arlo,"4/22/23, 13:10",1.75
Arlo,"4/21/23, 19:29",0.5
Arlo,"4/21/23, 10:01",1.25
Arlo,"4/20/23, 18:31",1.75
Arlo,"4/20/23, 10:45",1.75
Arlo,"4/19/23, 16:45",1.75
Arlo,"4/18/23, 10:45",1.5
Arlo,"4/17/23, 08:10",1
Arlo,"4/16/23, 16:45",1
Arlo,"4/15/23, 12:57",1.25
Arlo,"4/14/23, 09:37",1
Arlo,"4/13/23, 09:07",1
Arlo,"4/12/23, 07:40",1.5
Arlo,"4/11/23, 09:07",1.5
Arlo,"4/10/23, 19:00",1
Arlo,"4/9/23, 23:58",2.25
Arlo,"4/9/23, 18:12",1
Arlo,"4/9/23, 16:35",1
Arlo,"4/8/23, 23:43",2
Arlo,"4/8/23, 14:00",2
Arlo,"4/8/23, 00:48",1.5
Arlo,"4/7/23, 18:05",0.5
Arlo,"4/7/23, 17:30",2
Arlo,"4/6/23, 18:40",2
Arlo,"4/6/23, 00:00",2
Arlo,"4/5/23, 16:15",2.25
Arlo,"4/4/23, 22:35",2
Arlo,"4/4/23, 16:15",1
Arlo,"4/4/23, 14:45",1.5
Arlo,"4/3/23, 15:13",3.5
Arlo,"4/2/23, 12:40",2.5
Arlo,"4/1/23, 15:10",2
Arlo,"3/31/23, 16:05",2
Arlo,"3/30/23, 18:56",1.25
Arlo,"3/27/23, 18:00",0.75
Arlo,"3/25/23, 14:50",1
Arlo,"3/23/23, 21:02",0.25
